dataset,encoder,c_fh,policy,threshold,fhr,coverage,expected_cost
paws,bge-base-en-v1.5,20.0,fixed@0.8,0.8,0.5553,0.9984,11.0896
paws,bge-base-en-v1.5,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,bge-base-en-v1.5,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
paws,bge-large-en-v1.5,5.0,fixed@0.8,0.8,0.5549,0.9976,2.7704
paws,bge-large-en-v1.5,5.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,bge-large-en-v1.5,5.0,cost-aware(c_fh=5),1.0,0.0,0.0008,0.9992
paws,bge-large-en-v1.5,20.0,fixed@0.8,0.8,0.5549,0.9976,11.0744
paws,bge-large-en-v1.5,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,bge-large-en-v1.5,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
paws,e5-large-v2,5.0,fixed@0.8,0.8,0.556,1.0,2.78
paws,e5-large-v2,5.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,e5-large-v2,5.0,cost-aware(c_fh=5),1.0,0.0,0.0008,0.9992
paws,e5-large-v2,20.0,fixed@0.8,0.8,0.556,1.0,11.12
paws,e5-large-v2,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,e5-large-v2,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
paws,e5-small-v2,5.0,fixed@0.8,0.8,0.556,1.0,2.78
paws,e5-small-v2,5.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,e5-small-v2,5.0,cost-aware(c_fh=5),1.0,0.0,0.0008,0.9992
paws,e5-small-v2,20.0,fixed@0.8,0.8,0.556,1.0,11.12
paws,e5-small-v2,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
paws,e5-small-v2,20.0,cost-aware(c_fh=20),1.0,0.0,0.0008,0.9992
paws,tfidf-lexical,5.0,fixed@0.8,0.8,0.3757,0.4472,1.3928
paws,tfidf-lexical,5.0,fhr<= 0.05,1.0,0.1818,0.0088,0.9992
paws,tfidf-lexical,5.0,cost-aware(c_fh=5),0.95,0.2,0.032,1.0
paws,tfidf-lexical,20.0,fixed@0.8,0.8,0.3757,0.4472,3.9128
paws,tfidf-lexical,20.0,fhr<= 0.05,1.0,0.1818,0.0088,1.0232
paws,tfidf-lexical,20.0,cost-aware(c_fh=20),0.96,0.2,0.02,1.06
qqp,all-MiniLM-L6-v2,5.0,fixed@0.8,0.8,0.3315,0.4344,1.2856
qqp,all-MiniLM-L6-v2,5.0,fhr<= 0.05,0.995,0.2222,0.0072,1.0008
qqp,all-MiniLM-L6-v2,5.0,cost-aware(c_fh=5),0.94,0.1641,0.1024,0.9816
qqp,all-MiniLM-L6-v2,20.0,fixed@0.8,0.8,0.3315,0.4344,3.4456
qqp,all-MiniLM-L6-v2,20.0,fhr<= 0.05,0.995,0.2222,0.0072,1.0248
qqp,all-MiniLM-L6-v2,20.0,cost-aware(c_fh=20),0.995,0.2222,0.0072,1.0248
qqp,all-mpnet-base-v2,5.0,fixed@0.8,0.8,0.2993,0.4304,1.2136
qqp,all-mpnet-base-v2,5.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
qqp,all-mpnet-base-v2,5.0,cost-aware(c_fh=5),0.945,0.1508,0.1008,0.9752
qqp,all-mpnet-base-v2,20.0,fixed@0.8,0.8,0.2993,0.4304,3.1456
qqp,all-mpnet-base-v2,20.0,fhr<= 0.05,1.0,0.0,0.0008,0.9992
